Session #	Number	Authors	Affiliation	Title
4	44	Fabian, Stefan Manuel; Schmidt, Aljoscha; Süß, Jonas; Dishant, Dishant; Oza, Aum; von Stryk, Oskar	Technical University of Darmstadt	Athena: An Autonomous Open-Hardware Tracked Rescue Robot Platform
6	49	Gebauer, Tim; Fricke, Steffen; Patchou, Manuel; Böcker, Stefan; Wietfeld, Christian	TU Dortmund University	LANTERN: Enabling Seamless Relay-Based Network Expansion in Search and Rescue Environments Using an Open Multi-Radio Relay
5	52	Schleich, Daniel; Quenzel, Jan; Behnke, Sven	University of Bonn	Autonomous Consumer-grade UAVs for Real-time Situational Awareness in GNSS-denied Search & Rescue Operations
2	53 🏆	Cruz Ulloa, Christyan; Ravichandran, Naresh Balaji; Argüello Ron, Diego; Prieto, Alicia; Lansner, Anders; Herman, Pawel; del Cerro, Jaime	Centro de Automática y Robótica (UPM-CSIC), Universidad Politécnica de Madrid, 28006 Madrid, Spain	Sim-To-Real Neural Perception for Terrain Classification in Search and Rescue Robotics
4	54	Deng, Yixin; Wang, Keru; Redmond, Stephen J.	University College Dublin	Filtering Human Demonstration Datasets to Improve Policy Learning for Robotic Manipulation
6	57	Tukpah, James; Padir, Taskin	Northeastern University	Design and Realization of an Autonomous Ground Vehicle with Advanced Sensing for Landslide Prediction
1	60	Frost, Costas; Council, Chad; McGuinness, Margaret; Hanson, Nathaniel	Massachusetts Institute of Technology	RubbleSim: A Photorealistic Structural Collapse Simulator for Confined Space Mapping
4	61	Illing, Boris; Gaspers, Bastian; Schulz, Dirk	Fraunhofer FKIE	Comparing Intuitive Virtual Reality Control with Screen-based Control for Response Robots with a Manipulator
4	62	Walus, Nathan Pascal; Bezerra, Ranulfo; Kojima, Shotaro; Alemayoh, Tsige Tadesse; Tadokoro, Satoshi; Ohno, Kazunori	Tohoku University	Semantic Enrichment of CAD-Based Industrial Environments via Scene Graphs for Simulation and Reasoning
3	63	Nakashima, Shinsuke; Wu, Jiaxu; Hanari, Toshihide; Imabuchi, Takashi; Matsuhira, Nobuto; Kawabata, Kuniaki; An, Qi; Yamashita, Atsushi	The University of Tokyo	DX Platform for Evaluating Radiation and Environment Perturbation: An Application to Fukushima Daiichi Decommissioning
5	65	Miller, Alexander; Quenzel, Jan; Sekin, Valerij; Schleich, Daniel; Stampa, Merlin; Pahlke, Norbert; Roehrig, Christof; Behnke, Sven	University of Bonn	Aerial Assistance System for Automated Firefighting during Turntable Ladder Operations

International Symposium on Safety, Security, and Rescue Robotics ©2025 IEEE



