university,count
"North Carolina State University, USA",6
"Florida International University, USA",6
"University of British Columbia, Canada",6
"Budapest University of Technology and Economics, Hungary",6
"University of Padova, Italy",6
"University of Michigan, USA",6
"George Mason University, USA",6
"Sun Yat-Sen University, China",6
"Politecnico di Milano, Italy",6
"Rice University, USA",6
"Bell Labs, Nokia, USA",6
"University of Cambridge, United Kingdom (Great Britain)",6
"Singapore Management University, Singapore",6
University of Connecticut,6
Singapore Management University,6
UIUC,6
University of Colorado Denver,6
University of Electronic Science and Technology of China,6
"UT Austin, MSR Asia Shanghai",6
Beihang University,6
Ohio State University,6
China Mobile Research Institute,6
Singapore University of Technology and Design,6
NVIDIA,6
New York University Shanghai,6
Google LLC,6
iSING Lab,6
Google Research,6
Paul Lukowicz,6
Deutsches Forschungszentrum für Künstliche Intelligenz,6
University of Minnesota Twin Cities,6
StepFun,6
University of Piraeus,6
University of Bonn,6
SpaceTimeLab,6
School of Computer Science and Engineering of UNSW,6
Department of Computer Science and Engineering,6
Lawrence Berkeley National Laboratory,6
Technische Universität Darmstadt,6
Tohoku University,6
"Kumagai Gumi Co., Ltd.",6
Unaffiliated,5
Hewlett Packard Labs,5
"University of Goettingen, Germany",5
"Stony Brook University, USA",5
"University at Buffalo, USA",5
"Tsinghua University & The Hong Kong University of Science and Technology, China",5
"Harbin Institute of Technology, Shenzhen, China",5
"Loughborough University, United Kingdom (Great Britain)",5
"Rutgers University, USA",5
"Institute of Computing Technology, Chinese Academy of Sciences, China",5
"University of California San Diego, USA",5
"Huawei, China",5
"Hong Kong Polytechnic University, Hong Kong",5
"Auburn University, USA",5
"Anhui University of Technology, China",5
"Northwestern Polytechnical University, China",5
"University at Albany, SUNY, USA",5
"Donghua University, China",5
"NEC Labs Europe, Germany",5
"ICREA and i2cat & NEC Laboratories Europe, Spain",5
"Hefei University of Technology, China",5
"Zhengzhou University, China",5
"The University of Osaka, Japan",5
Universidad Politécnica de Madrid,5
SUNY at Buffalo,5
UCSD,5
Dalian University of Technology,5
University of Texas at Arlington,5
Independent Researcher,5
Wuhan University,5
Auburn University,5
George Washington University,5
University of Warwick,5
IBM Research,5
Korea University,5
Hebrew University of Jerusalem,5
Boston University,5
Xinchen Wan,5
Institute of Computing Technology,5
Purple Mountain Laboratories,5
France,5
"Osaka University, Japan",5
Katholieke Universiteit Leuven,5
LY Corporation,5
Princeton,5
Politecnico di Torino,5
Techinical Universtiy of Munich,5
Novateur Research Solutions,5
Center for Spatial Information Science,5
Chair of Cartography and Visual Analytics,5
University of Freiburg,5
University of Vaasa,5
Indiana University Bloomington,5
Stevens Institute of Technology,5
Wrocław University of Science and Technology,5
TU Dortmund University,5
"INESC-ID / Instituto Superior Tecnico, University of Lisbon",4
Huawei Technologies Co. Ltd,4
HAW Hamburg,4
Aalto University,4
"University of Minnesota, USA",4
"UC San Diego, United States",4
"University of Massachusetts at Amherst, USA",4
"Guangdong University of Technology, China",4
"Shanghai Jiaotong University, China",4
"Johns Hopkins University, USA",4
"HKUST, Hong Kong",4
"Queen's University, Canada",4
"Imperial College London, United Kingdom (Great Britain)",4
"University of Nebraska Lincoln, USA",4
"Nanjing University of Posts and Telecommunications, China",4
"Peng Cheng Laboratory, China",4
"Institute of Information Engineering, Chinese Academy of Sciences, China",4
"The Chinese University of Hong Kong, Shenzhen, China",4
"Ontario Tech University, Canada",4
"University of Exeter, United Kingdom (Great Britain)",4
"TU Darmstadt, Germany",4
"Princeton University, USA",4
"Capital Normal University, China",4
"Columbia University, USA",4
"University of California, San Diego, USA",4
"Ocean University of China, China",4
"Xiamen University, China",4
"Yanshan University, China",4
"TianJin University, China",4
"Lingnan University, Hong Kong",4
"University of Colorado Boulder, USA",4
"Chinese University of Hong Kong, Hong Kong",4
"Chung-Ang University, Korea (South)",4
"NEC Laboratories Europe, Germany",4
"Politecnico di Torino & CNIT, IEIIT-CNR, Italy",4
"Hohai University, China",4
"Kanazawa University, Japan",4
"Information Engineering University, China",4
"Harbin Institute of Technology, China",4
"Fuzhou University & Quan Cheng Laboratory, China",4
"Nanjing University of Science and Technology, China",4
