university,count
"Wireless Information Network Laboratory, Rutgers University",1
"Tsinghua University, Xiaomi Inc.",1
Xiaomi Technology Co. LTD,1
Mukesh Mantan,1
AT&T Labs Research,1
"School of Computer Science and Engineering, University of Electronic Science and Technology of China (UESTC), P.R. China；School of Computer Science, Southwest Petroleum University (SWPU), P.R. China",1
Michigan State Univesity,1
Samsung Research India Bangalore,1
"Myles) Liu (University of California, Irvine",1
"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",1
The Hong Kong University of Science and Technology and Nanyang Technological University,1
"Data Science and Analytics Thrust, HKUST (GZ)",1
i2CAT Foundation,1
NEC Laboratories Europe GmbH,1
Universidad Carlos III de Madrid,1
"NEC Laboratories Europe GmbH, i2CAT Foundation and ICREA",1
Beijing Big Data Centre,1
"Department of Computer Science and Engineering, University of Notre Dame",1
"Global Innovation Exchange & Department of Automation, Tsinghua University",1
Brave Software,1
Imperial College London and Brave Software,1
"School of Computing, KAIST, Daejeon, Korea, Republic of",1
"KAIST, Daejeon, Korea, Republic of",1
"Simon Fraser University, Canada",1
"Korea University, Seoul, Korea, Republic of",1
"School of Computing, KAIST & Fluiz, Daejeon, Korea, Republic of",1
UIUC,1
UCSD,1
University of Glasgow,1
"Institute of Software, Chinese Academy of Sciences and University of Chinese Academy of Sciences",1
China Mobile Research Institute,1
"Telecom SudParis, Institut Polytechnique de Paris and Peking University",1
Beijing Xiaomi Mobile Software Company Ltd.,1
"Dept. of Computing and Software, McMaster University",1
"School of Computer Science, Peking University and SAMOVAR, Telecom SudParis, IP Paris",1
Dalian Jiaotong University,1
UMASS Amherst,1
MSR Asia and University of Massachusetts Amherst,1
"Michigan State University, University of Hawaii at Manoa",1
Zhejiang University & Alibaba Group,1
University of Edinburgh,1
Vincent Li,1
Cisco Systems,1
"Noah's Ark Lab, Huawei",1
Kryptowire LLC,1
Zhejaing University,1
"Microsoft Research Asia, UT Austin",1
Zhejiang University of Technology,1
Singapore Management University,1
Southern University of Science and Technology,1
"Department of Infectious Diseases, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",1
Guangdong Provincial People's Hospital and Southern Medical University,1
SUNY Buffalo,1
McGill University,1
Simon Fraser University and Qatar Computing Research Institute,1
The Hong Kong University of Science and Technology (HKUST),1
Southwest Petroleum University (SWPU),1
Luke,1
Stanford University,1
Stanford,1
"AsiaInfo Technologies (China), Inc",1
"University of Texas at Arlington, University of Massachusetts Amherst",1
Georgia Tech,1
UW-Madison & Meta,1
East China Normal University,1
Johns Hopkins,1
"School of Computer Science and Technology, Shandong University",1
USRA,1
Interdigital,1
The Hong Kong University of Science and Technology (Guangzhou),1
"Department of Neurology, The Affiliated Guangdong Second Provincial General Hospital of Jinan University; Guangzhou",1
"Department of Neurology, Shenzhen People's Hospital (The Second Clinical Medical College, Jinan University, The First Affiliated Hospital, Southern University of Science and Technology), Qian Zhang (HKUST",1
Hong Kong University of Science and Technology (Guangzhou),1
Rajax Network Technology (ele.me),1
Jacky) Shen (The Hong Kong University of Science and Technology (Guangzhou),1
Imperial College London,1
Jiangxing Intelligence Inc.,1
Minchan Kim,1
Uppsala University,1
Tianjin University,1
"Beijing University of Posts and Telecommunications, and Beiyou Shenzhen Institute",1
Independent Researcher,1
University of Leeds,1
"Institute of Software, Chinese Academy of Sciences; University of Chinese Academy of Sciences",1
PekingUniversity; Institut Polytechnique de Paris,1
MicrosoftResearch Asia,1
Reitaku University,1
Shandong University,1
Raffles Institution,1
Vrije Universiteit Amsterdam,1
Paderborn University,1
City University of Hong Kong Matter Science Research Institute (Futian),1
Wuhan University of Technology,1
Hon Hai Research Institute,1
"Sungkyunkwan University, Korea, Republic of",1
"School of computer science and technology, Harbin Institute of Technology",1
"School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences",1
University of Chinese Academy of Sciences,1
Harbin Institute of Technology,1
